pos,shift,relay
64,88,Westvleteren-12
65,44,Westvleteren-12
66,67,Westvleteren-12
67,118,Westvleteren-12
68,127,Westvleteren-12
69,199,Westvleteren-12
70,208,Westvleteren-12
71,,Westvleteren-12
72,73,Westvleteren-12
73,119,Westvleteren-12
74,45,Westvleteren-12
75,83,Westvleteren-12
76,132,Westvleteren-12
77,123,Westvleteren-12
78,113,Westvleteren-12
79,30,Westvleteren-12
80,134,Westvleteren-12
81,196,Westvleteren-12
82,,Westvleteren-12
83,203,Westvleteren-12
84,70,Westvleteren-12
85,208,Westvleteren-12
86,24,Westvleteren-12
87,,Westvleteren-12
88,59,Westvleteren-12
89,1,Westvleteren-12
90,23,Westvleteren-12
91,116,Westvleteren-12
92,165,Westvleteren-12
93,84,Westvleteren-12
94,104,Westvleteren-12
95,139,Westvleteren-12
96,200,Westvleteren-12
97,171,Westvleteren-12
98,46,Westvleteren-12
99,,Westvleteren-12
100,90,Westvleteren-12
101,40,Westvleteren-12
102,90,Westvleteren-12
103,5,Westvleteren-12
104,175,Westvleteren-12
105,146,Westvleteren-12
106,197,Westvleteren-12
107,137,Westvleteren-12
108,55,Westvleteren-12
109,28,Westvleteren-12
110,,Westvleteren-12
111,183,Westvleteren-12
112,,Westvleteren-12
113,142,Westvleteren-12
114,100,Westvleteren-12
115,145,Westvleteren-12
116,187,Westvleteren-12
117,54,Westvleteren-12
118,145,Westvleteren-12
119,75,Westvleteren-12
120,144,Westvleteren-12
121,68,Westvleteren-12
122,171,Westvleteren-12
123,,Westvleteren-12
124,,Westvleteren-12
125,25,Westvleteren-12
126,200,Westvleteren-12
127,67,Westvleteren-12
128,24,Westvleteren-12
129,111,Westvleteren-12
130,43,Westvleteren-12
131,27,Westvleteren-12
132,,Westvleteren-12
133,106,Westvleteren-12
134,194,Westvleteren-12
135,91,Westvleteren-12
136,184,Westvleteren-12
137,205,Westvleteren-12
138,47,Westvleteren-12
139,165,Westvleteren-12
140,,Westvleteren-12
141,102,Westvleteren-12
142,129,Westvleteren-12
143,80,Westvleteren-12
144,70,Westvleteren-12
145,150,Westvleteren-12
146,16,Westvleteren-12
147,74,Westvleteren-12
148,80,Westvleteren-12
149,41,Westvleteren-12
150,66,Westvleteren-12
151,65,Westvleteren-12
0,130,Chimay-23
1,65,Chimay-23
2,103,Chimay-23
3,174,Chimay-23
4,202,Chimay-23
5,171,Chimay-23
6,38,Chimay-23
7,145,Chimay-23
8,152,Chimay-23
9,203,Chimay-23
10,146,Chimay-23
11,16,Chimay-23
12,63,Chimay-23
13,43,Chimay-23
14,125,Chimay-23
15,96,Chimay-23
16,110,Chimay-23
17,146,Chimay-23
18,202,Chimay-23
19,159,Chimay-23
20,86,Chimay-23
21,117,Chimay-23
22,153,Chimay-23
23,129,Chimay-23
24,160,Chimay-23
25,104,Chimay-23
26,17,Chimay-23
27,195,Chimay-23
28,57,Chimay-23
29,29,Chimay-23
30,177,Chimay-23
31,165,Chimay-23
32,,Chimay-23
33,85,Chimay-23
34,121,Chimay-23
35,88,Chimay-23
36,43,Chimay-23
37,73,Chimay-23
38,2,Chimay-23
39,185,Chimay-23
40,48,Chimay-23
41,131,Chimay-23
42,89,Chimay-23
43,61,Chimay-23
44,206,Chimay-23
45,198,Chimay-23
46,100,Chimay-23
47,,Chimay-23
48,,Chimay-23
49,201,Chimay-23
50,132,Chimay-23
51,169,Chimay-23
52,59,Chimay-23
53,169,Chimay-23
54,3,Chimay-23
55,209,Chimay-23
56,150,Chimay-23
57,167,Chimay-23
58,206,Chimay-23
59,45,Chimay-23
60,113,Chimay-23
61,98,Chimay-23
62,78,Chimay-23
63,47,Chimay-23
64,104,Chimay-23
65,44,Chimay-23
66,67,Chimay-23
67,20,Chimay-23
68,43,Chimay-23
69,165,Chimay-23
70,97,Chimay-23
71,126,Chimay-23
72,111,Chimay-23
73,119,Chimay-23
74,45,Chimay-23
75,,Chimay-23
76,201,Chimay-23
77,156,Chimay-23
78,199,Chimay-23
79,30,Chimay-23
80,,Chimay-23
81,87,Chimay-23
82,134,Chimay-23
83,150,Chimay-23
84,70,Chimay-23
85,14,Chimay-23
86,24,Chimay-23
87,186,Chimay-23
88,124,Chimay-23
89,152,Chimay-23
90,23,Chimay-23
91,116,Chimay-23
92,107,Chimay-23
93,39,Chimay-23
94,19,Chimay-23
95,38,Chimay-23
96,,Chimay-23
97,156,Chimay-23
98,182,Chimay-23
99,192,Chimay-23
100,90,Chimay-23
101,40,Chimay-23
102,90,Chimay-23
103,143,Chimay-23
104,90,Chimay-23
105,,Chimay-23
106,118,Chimay-23
107,186,Chimay-23
108,,Chimay-23
109,28,Chimay-23
110,25,Chimay-23
111,183,Chimay-23
112,197,Chimay-23
113,65,Chimay-23
114,192,Chimay-23
115,97,Chimay-23
116,28,Chimay-23
117,73,Chimay-23
118,48,Chimay-23
119,111,Chimay-23
120,197,Chimay-23
121,68,Chimay-23
122,180,Chimay-23
123,153,Chimay-23
124,159,Chimay-23
125,19,Chimay-23
126,67,Chimay-23
127,7,Chimay-23
128,,Chimay-23
129,210,Chimay-23
130,191,Chimay-23
131,184,Chimay-23
132,153,Chimay-23
133,15,Chimay-23
134,98,Chimay-23
135,,Chimay-23
136,45,Chimay-23
137,26,Chimay-23
138,47,Chimay-23
139,36,Chimay-23
140,161,Chimay-23
141,175,Chimay-23
142,81,Chimay-23
143,129,Chimay-23
144,194,Chimay-23
145,150,Chimay-23
146,16,Chimay-23
147,74,Chimay-23
148,159,Chimay-23
149,41,Chimay-23
150,124,Chimay-23
151,,Chimay-23
0,94,Orval-07
1,34,Orval-07
2,196,Orval-07
3,140,Orval-07
4,94,Orval-07
5,34,Orval-07
6,196,Orval-07
7,140,Orval-07
8,94,Orval-07
9,34,Orval-07
10,196,Orval-07
11,140,Orval-07
12,94,Orval-07
13,34,Orval-07
14,196,Orval-07
15,140,Orval-07
16,94,Orval-07
17,34,Orval-07
18,196,Orval-07
19,140,Orval-07
20,94,Orval-07
21,34,Orval-07
22,196,Orval-07
23,140,Orval-07
24,94,Orval-07
25,34,Orval-07
26,196,Orval-07
27,140,Orval-07
28,94,Orval-07
29,34,Orval-07
30,196,Orval-07
31,140,Orval-07
32,94,Orval-07
33,34,Orval-07
34,196,Orval-07
35,140,Orval-07
36,94,Orval-07
37,34,Orval-07
38,196,Orval-07
39,140,Orval-07
40,94,Orval-07
41,34,Orval-07
42,196,Orval-07
43,140,Orval-07
44,94,Orval-07
45,34,Orval-07
46,196,Orval-07
47,140,Orval-07
48,94,Orval-07
49,34,Orval-07
50,196,Orval-07
51,140,Orval-07
52,94,Orval-07
53,34,Orval-07
54,196,Orval-07
55,140,Orval-07
56,94,Orval-07
57,34,Orval-07
58,196,Orval-07
59,140,Orval-07
60,94,Orval-07
61,34,Orval-07
62,196,Orval-07
63,140,Orval-07
64,94,Orval-07
65,34,Orval-07
66,196,Orval-07
67,140,Orval-07
68,94,Orval-07
69,34,Orval-07
70,196,Orval-07
71,140,Orval-07
72,94,Orval-07
73,34,Orval-07
74,196,Orval-07
75,140,Orval-07
76,94,Orval-07
77,34,Orval-07
78,196,Orval-07
79,140,Orval-07
80,94,Orval-07
81,34,Orval-07
82,196,Orval-07
83,140,Orval-07
84,94,Orval-07
85,34,Orval-07
86,196,Orval-07
87,140,Orval-07
88,94,Orval-07
89,34,Orval-07
90,196,Orval-07
91,140,Orval-07
92,94,Orval-07
93,34,Orval-07
94,196,Orval-07
95,140,Orval-07
96,94,Orval-07
97,34,Orval-07
98,196,Orval-07
99,140,Orval-07
100,94,Orval-07
101,34,Orval-07
102,196,Orval-07
103,140,Orval-07
104,94,Orval-07
105,34,Orval-07
106,196,Orval-07
107,140,Orval-07
108,94,Orval-07
109,34,Orval-07
110,196,Orval-07
111,140,Orval-07
112,94,Orval-07
113,34,Orval-07
114,196,Orval-07
115,140,Orval-07
116,94,Orval-07
117,34,Orval-07
118,196,Orval-07
119,140,Orval-07
120,94,Orval-07
121,34,Orval-07
122,196,Orval-07
123,140,Orval-07
124,94,Orval-07
125,34,Orval-07
126,196,Orval-07
127,140,Orval-07
128,94,Orval-07
129,34,Orval-07
130,196,Orval-07
131,140,Orval-07
132,94,Orval-07
133,34,Orval-07
134,196,Orval-07
135,140,Orval-07
136,94,Orval-07
137,34,Orval-07
138,196,Orval-07
139,140,Orval-07
140,94,Orval-07
141,34,Orval-07
142,196,Orval-07
143,140,Orval-07
144,94,Orval-07
145,34,Orval-07
146,196,Orval-07
147,140,Orval-07
148,94,Orval-07
149,34,Orval-07
150,196,Orval-07
151,140,Orval-07
0,130,TreFontane-33
1,121,TreFontane-33
2,128,TreFontane-33
3,174,TreFontane-33
4,77,TreFontane-33
5,115,TreFontane-33
6,83,TreFontane-33
7,31,TreFontane-33
8,127,TreFontane-33
9,119,TreFontane-33
10,146,TreFontane-33
11,199,TreFontane-33
12,206,TreFontane-33
13,43,TreFontane-33
14,39,TreFontane-33
15,151,TreFontane-33
16,133,TreFontane-33
17,52,TreFontane-33
18,48,TreFontane-33
19,,TreFontane-33
20,86,TreFontane-33
21,117,TreFontane-33
22,153,TreFontane-33
23,59,TreFontane-33
24,173,TreFontane-33
25,181,TreFontane-33
26,17,TreFontane-33
27,140,TreFontane-33
28,102,TreFontane-33
29,8,TreFontane-33
30,50,TreFontane-33
31,165,TreFontane-33
32,44,TreFontane-33
33,11,TreFontane-33
34,165,TreFontane-33
35,139,TreFontane-33
36,12,TreFontane-33
37,115,TreFontane-33
38,193,TreFontane-33
39,164,TreFontane-33
40,,TreFontane-33
41,123,TreFontane-33
42,182,TreFontane-33
43,57,TreFontane-33
44,5,TreFontane-33
45,,TreFontane-33
46,165,TreFontane-33
47,135,TreFontane-33
48,55,TreFontane-33
49,200,TreFontane-33
50,132,TreFontane-33
51,35,TreFontane-33
52,41,TreFontane-33
53,169,TreFontane-33
54,47,TreFontane-33
55,99,TreFontane-33
56,,TreFontane-33
57,108,TreFontane-33
58,,TreFontane-33
59,106,TreFontane-33
60,20,TreFontane-33
61,98,TreFontane-33
62,78,TreFontane-33
63,47,TreFontane-33
64,88,TreFontane-33
65,44,TreFontane-33
66,67,TreFontane-33
67,,TreFontane-33
68,127,TreFontane-33
69,199,TreFontane-33
70,,TreFontane-33
71,106,TreFontane-33
72,73,TreFontane-33
73,119,TreFontane-33
74,45,TreFontane-33
75,83,TreFontane-33
76,132,TreFontane-33
77,123,TreFontane-33
78,113,TreFontane-33
79,74,TreFontane-33
80,134,TreFontane-33
81,203,TreFontane-33
82,134,TreFontane-33
83,203,TreFontane-33
84,,TreFontane-33
85,208,TreFontane-33
86,208,TreFontane-33
87,54,TreFontane-33
88,59,TreFontane-33
89,,TreFontane-33
90,23,TreFontane-33
91,177,TreFontane-33
92,165,TreFontane-33
93,84,TreFontane-33
94,,TreFontane-33
95,139,TreFontane-33
96,200,TreFontane-33
97,171,TreFontane-33
98,46,TreFontane-33
99,6,TreFontane-33
100,37,TreFontane-33
101,37,TreFontane-33
102,90,TreFontane-33
103,143,TreFontane-33
104,175,TreFontane-33
105,146,TreFontane-33
106,202,TreFontane-33
107,137,TreFontane-33
108,55,TreFontane-33
109,28,TreFontane-33
110,158,TreFontane-33
111,,TreFontane-33
112,71,TreFontane-33
113,142,TreFontane-33
114,192,TreFontane-33
115,145,TreFontane-33
116,187,TreFontane-33
117,54,TreFontane-33
118,90,TreFontane-33
119,75,TreFontane-33
120,144,TreFontane-33
121,68,TreFontane-33
122,171,TreFontane-33
123,142,TreFontane-33
124,33,TreFontane-33
125,130,TreFontane-33
126,,TreFontane-33
127,210,TreFontane-33
128,24,TreFontane-33
129,,TreFontane-33
130,43,TreFontane-33
131,27,TreFontane-33
132,175,TreFontane-33
133,15,TreFontane-33
134,,TreFontane-33
135,91,TreFontane-33
136,184,TreFontane-33
137,,TreFontane-33
138,47,TreFontane-33
139,129,TreFontane-33
140,161,TreFontane-33
141,27,TreFontane-33
142,129,TreFontane-33
143,80,TreFontane-33
144,70,TreFontane-33
145,27,TreFontane-33
146,16,TreFontane-33
147,74,TreFontane-33
148,80,TreFontane-33
149,41,TreFontane-33
150,66,TreFontane-33
151,65,TreFontane-33
0,176,MontDesCats-77
1,176,MontDesCats-77
2,176,MontDesCats-77
3,176,MontDesCats-77
4,176,MontDesCats-77
5,176,MontDesCats-77
6,176,MontDesCats-77
7,176,MontDesCats-77
8,176,MontDesCats-77
9,176,MontDesCats-77
10,176,MontDesCats-77
11,176,MontDesCats-77
12,176,MontDesCats-77
13,176,MontDesCats-77
14,176,MontDesCats-77
15,176,MontDesCats-77
16,176,MontDesCats-77
17,176,MontDesCats-77
18,176,MontDesCats-77
19,176,MontDesCats-77
20,176,MontDesCats-77
21,176,MontDesCats-77
22,176,MontDesCats-77
23,176,MontDesCats-77
24,176,MontDesCats-77
25,176,MontDesCats-77
26,176,MontDesCats-77
27,176,MontDesCats-77
28,176,MontDesCats-77
29,176,MontDesCats-77
30,176,MontDesCats-77
31,176,MontDesCats-77
32,176,MontDesCats-77
33,176,MontDesCats-77
34,176,MontDesCats-77
35,176,MontDesCats-77
36,176,MontDesCats-77
37,176,MontDesCats-77
38,176,MontDesCats-77
39,176,MontDesCats-77
40,176,MontDesCats-77
41,176,MontDesCats-77
42,176,MontDesCats-77
43,176,MontDesCats-77
44,176,MontDesCats-77
45,176,MontDesCats-77
46,176,MontDesCats-77
47,176,MontDesCats-77
48,176,MontDesCats-77
49,176,MontDesCats-77
50,176,MontDesCats-77
51,176,MontDesCats-77
52,176,MontDesCats-77
53,176,MontDesCats-77
54,176,MontDesCats-77
55,176,MontDesCats-77
56,176,MontDesCats-77
57,176,MontDesCats-77
58,176,MontDesCats-77
59,176,MontDesCats-77
60,176,MontDesCats-77
61,176,MontDesCats-77
62,176,MontDesCats-77
63,176,MontDesCats-77
64,176,MontDesCats-77
65,176,MontDesCats-77
66,176,MontDesCats-77
67,176,MontDesCats-77
68,176,MontDesCats-77
69,176,MontDesCats-77
70,176,MontDesCats-77
71,176,MontDesCats-77
72,176,MontDesCats-77
73,176,MontDesCats-77
74,176,MontDesCats-77
75,176,MontDesCats-77
76,176,MontDesCats-77
77,176,MontDesCats-77
78,176,MontDesCats-77
79,176,MontDesCats-77
80,176,MontDesCats-77
81,176,MontDesCats-77
82,176,MontDesCats-77
83,176,MontDesCats-77
84,176,MontDesCats-77
85,176,MontDesCats-77
86,176,MontDesCats-77
87,176,MontDesCats-77
88,176,MontDesCats-77
89,176,MontDesCats-77
90,176,MontDesCats-77
91,176,MontDesCats-77
92,176,MontDesCats-77
93,176,MontDesCats-77
94,176,MontDesCats-77
95,176,MontDesCats-77
96,176,MontDesCats-77
97,176,MontDesCats-77
98,176,MontDesCats-77
99,176,MontDesCats-77
100,176,MontDesCats-77
101,176,MontDesCats-77
102,176,MontDesCats-77
103,176,MontDesCats-77
104,176,MontDesCats-77
105,176,MontDesCats-77
106,176,MontDesCats-77
107,176,MontDesCats-77
108,176,MontDesCats-77
109,176,MontDesCats-77
110,176,MontDesCats-77
111,176,MontDesCats-77
112,176,MontDesCats-77
113,176,MontDesCats-77
114,176,MontDesCats-77
115,176,MontDesCats-77
116,176,MontDesCats-77
117,176,MontDesCats-77
118,176,MontDesCats-77
119,176,MontDesCats-77
120,176,MontDesCats-77
121,176,MontDesCats-77
122,176,MontDesCats-77
123,176,MontDesCats-77
124,176,MontDesCats-77
125,176,MontDesCats-77
126,176,MontDesCats-77
127,176,MontDesCats-77
128,176,MontDesCats-77
129,176,MontDesCats-77
130,176,MontDesCats-77
131,176,MontDesCats-77
132,176,MontDesCats-77
133,176,MontDesCats-77
134,176,MontDesCats-77
135,176,MontDesCats-77
136,176,MontDesCats-77
137,176,MontDesCats-77
138,176,MontDesCats-77
139,176,MontDesCats-77
140,176,MontDesCats-77
141,176,MontDesCats-77
142,176,MontDesCats-77
143,176,MontDesCats-77
144,176,MontDesCats-77
145,176,MontDesCats-77
146,176,MontDesCats-77
147,176,MontDesCats-77
148,176,MontDesCats-77
149,176,MontDesCats-77
150,176,MontDesCats-77
151,176,MontDesCats-77
0,130,Zundert-56
1,,Zundert-56
2,83,Zundert-56
3,92,Zundert-56
4,,Zundert-56
5,,Zundert-56
6,83,Zundert-56
7,151,Zundert-56
8,127,Zundert-56
9,119,Zundert-56
10,146,Zundert-56
11,158,Zundert-56
12,206,Zundert-56
13,43,Zundert-56
14,39,Zundert-56
15,151,Zundert-56
16,,Zundert-56
17,52,Zundert-56
18,,Zundert-56
19,159,Zundert-56
20,127,Zundert-56
21,117,Zundert-56
22,153,Zundert-56
23,59,Zundert-56
24,200,Zundert-56
25,181,Zundert-56
26,37,Zundert-56
27,140,Zundert-56
28,102,Zundert-56
29,8,Zundert-56
30,50,Zundert-56
31,165,Zundert-56
32,44,Zundert-56
33,11,Zundert-56
34,165,Zundert-56
35,,Zundert-56
36,12,Zundert-56
37,115,Zundert-56
38,,Zundert-56
39,164,Zundert-56
40,48,Zundert-56
41,123,Zundert-56
42,182,Zundert-56
43,19,Zundert-56
44,5,Zundert-56
45,33,Zundert-56
46,165,Zundert-56
47,135,Zundert-56
48,55,Zundert-56
49,,Zundert-56
50,,Zundert-56
51,35,Zundert-56
52,41,Zundert-56
53,169,Zundert-56
54,47,Zundert-56
55,99,Zundert-56
56,,Zundert-56
57,108,Zundert-56
58,136,Zundert-56
59,106,Zundert-56
60,20,Zundert-56
61,98,Zundert-56
62,78,Zundert-56
63,47,Zundert-56
64,88,Zundert-56
65,44,Zundert-56
66,67,Zundert-56
67,118,Zundert-56
68,127,Zundert-56
69,177,Zundert-56
70,208,Zundert-56
71,106,Zundert-56
72,,Zundert-56
73,119,Zundert-56
74,45,Zundert-56
75,164,Zundert-56
76,132,Zundert-56
77,123,Zundert-56
78,113,Zundert-56
79,30,Zundert-56
80,96,Zundert-56
81,203,Zundert-56
82,134,Zundert-56
83,203,Zundert-56
84,70,Zundert-56
85,208,Zundert-56
86,24,Zundert-56
87,54,Zundert-56
88,59,Zundert-56
89,164,Zundert-56
90,96,Zundert-56
91,116,Zundert-56
92,165,Zundert-56
93,84,Zundert-56
94,104,Zundert-56
95,139,Zundert-56
96,198,Zundert-56
97,171,Zundert-56
98,46,Zundert-56
99,,Zundert-56
100,90,Zundert-56
101,170,Zundert-56
102,90,Zundert-56
103,143,Zundert-56
104,,Zundert-56
105,146,Zundert-56
106,202,Zundert-56
107,137,Zundert-56
108,,Zundert-56
109,28,Zundert-56
110,158,Zundert-56
111,183,Zundert-56
112,71,Zundert-56
113,38,Zundert-56
114,192,Zundert-56
115,145,Zundert-56
116,187,Zundert-56
117,54,Zundert-56
118,145,Zundert-56
119,75,Zundert-56
120,144,Zundert-56
121,68,Zundert-56
122,171,Zundert-56
123,,Zundert-56
124,33,Zundert-56
125,25,Zundert-56
126,200,Zundert-56
127,67,Zundert-56
128,24,Zundert-56
129,111,Zundert-56
130,43,Zundert-56
131,27,Zundert-56
132,175,Zundert-56
133,15,Zundert-56
134,194,Zundert-56
135,91,Zundert-56
136,184,Zundert-56
137,205,Zundert-56
138,154,Zundert-56
139,165,Zundert-56
140,,Zundert-56
141,,Zundert-56
142,,Zundert-56
143,80,Zundert-56
144,70,Zundert-56
145,150,Zundert-56
146,16,Zundert-56
147,74,Zundert-56
148,80,Zundert-56
149,41,Zundert-56
150,66,Zundert-56
151,65,Zundert-56
0,,Spencer-61
1,,Spencer-61
2,,Spencer-61
3,,Spencer-61
4,,Spencer-61
5,,Spencer-61
6,,Spencer-61
7,,Spencer-61
8,,Spencer-61
9,,Spencer-61
10,,Spencer-61
11,,Spencer-61
12,,Spencer-61
13,,Spencer-61
14,,Spencer-61
15,,Spencer-61
16,,Spencer-61
17,,Spencer-61
18,,Spencer-61
19,,Spencer-61
20,,Spencer-61
21,,Spencer-61
22,,Spencer-61
23,,Spencer-61
24,,Spencer-61
25,,Spencer-61
26,,Spencer-61
27,,Spencer-61
28,,Spencer-61
29,,Spencer-61
30,,Spencer-61
31,,Spencer-61
32,,Spencer-61
33,,Spencer-61
34,,Spencer-61
35,,Spencer-61
36,,Spencer-61
37,,Spencer-61
38,,Spencer-61
39,,Spencer-61
40,,Spencer-61
41,,Spencer-61
42,,Spencer-61
43,,Spencer-61
44,,Spencer-61
45,,Spencer-61
46,,Spencer-61
47,,Spencer-61
48,,Spencer-61
49,,Spencer-61
50,,Spencer-61
51,,Spencer-61
52,,Spencer-61
53,,Spencer-61
54,,Spencer-61
55,,Spencer-61
56,,Spencer-61
57,,Spencer-61
58,,Spencer-61
59,,Spencer-61
60,,Spencer-61
61,,Spencer-61
62,,Spencer-61
63,,Spencer-61
64,,Spencer-61
65,,Spencer-61
66,,Spencer-61
67,,Spencer-61
68,,Spencer-61
69,,Spencer-61
70,,Spencer-61
71,,Spencer-61
72,,Spencer-61
73,,Spencer-61
74,,Spencer-61
75,,Spencer-61
76,,Spencer-61
77,,Spencer-61
78,,Spencer-61
79,,Spencer-61
80,,Spencer-61
81,,Spencer-61
82,,Spencer-61
83,,Spencer-61
84,,Spencer-61
85,,Spencer-61
86,,Spencer-61
87,,Spencer-61
88,,Spencer-61
89,,Spencer-61
90,,Spencer-61
91,,Spencer-61
92,,Spencer-61
93,,Spencer-61
94,,Spencer-61
95,,Spencer-61
96,,Spencer-61
97,,Spencer-61
98,,Spencer-61
99,,Spencer-61
100,,Spencer-61
101,,Spencer-61
102,,Spencer-61
103,,Spencer-61
104,,Spencer-61
105,,Spencer-61
106,,Spencer-61
107,,Spencer-61
108,,Spencer-61
109,,Spencer-61
110,,Spencer-61
111,,Spencer-61
112,,Spencer-61
113,,Spencer-61
114,,Spencer-61
115,,Spencer-61
116,,Spencer-61
117,,Spencer-61
118,,Spencer-61
119,,Spencer-61
120,,Spencer-61
121,,Spencer-61
122,,Spencer-61
123,,Spencer-61
124,,Spencer-61
125,,Spencer-61
126,,Spencer-61
127,,Spencer-61
128,,Spencer-61
129,,Spencer-61
130,,Spencer-61
131,,Spencer-61
132,,Spencer-61
133,,Spencer-61
134,,Spencer-61
135,,Spencer-61
136,,Spencer-61
137,,Spencer-61
138,,Spencer-61
139,,Spencer-61
140,,Spencer-61
141,,Spencer-61
142,,Spencer-61
143,,Spencer-61
144,,Spencer-61
145,,Spencer-61
146,,Spencer-61
147,,Spencer-61
148,,Spencer-61
149,,Spencer-61
150,,Spencer-61
151,,Spencer-61
